Date,Open,High,Low,Close,Volume,Ticker
2005-02-25,69.5897,69.6904,69.4951,69.6356,515332.8224413,IEF
2005-02-28,69.509,69.6126,69.0916,69.1842,481904.91695706,IEF
2005-03-01,68.9591,69.0767,68.8884,69.001,363941.55271489,IEF
2005-03-02,68.9511,69.0588,68.9193,68.993,181183.26308861,IEF
2005-03-03,69.0767,69.1166,68.9283,68.9511,724858.53248013,IEF
2005-03-04,69.1674,69.3417,69.1344,69.258,217274.35876053,IEF
2005-03-07,69.2919,69.3835,69.266,69.2749,197534.82922773,IEF
2005-03-08,69.0916,69.0986,68.9283,68.9511,843184.28332528,IEF
2005-03-09,68.73,68.73,68.3565,68.4251,317681.54765693,IEF
2005-03-10,68.4819,68.6882,68.3216,68.5477,317681.54765693,IEF
2005-03-11,68.4331,68.4819,68.2429,68.2608,246341.57891673,IEF
2005-03-14,68.1851,68.4251,68.1662,68.4251,232894.12480662,IEF
2005-03-15,68.5567,68.5567,68.209,68.2907,120622.53906582,IEF
2005-03-16,68.4411,68.713,68.3823,68.4501,270925.64514223,IEF
2005-03-17,68.72,68.8117,68.6075,68.713,414324.33278258,IEF
2005-03-18,68.5796,68.5985,68.4671,68.5397,242587.21355604,IEF
2005-03-21,68.4989,68.5238,68.4251,68.4581,542825.01605982,IEF
2005-03-22,68.6314,68.6972,67.9539,67.9539,366728.21534626,IEF
2005-03-23,67.8036,68.1662,67.8036,68.1114,431039.28936571,IEF
2005-03-24,68.1452,68.2349,68.0855,68.1662,159869.71085913,IEF
2005-03-28,68.0038,68.0297,67.9071,67.9471,82959.428379238,IEF
2005-03-29,68.0785,68.2349,68.0785,68.225,423044.69959764,IEF
2005-03-30,68.1851,68.3923,68.1662,68.3823,304349.53526245,IEF
2005-03-31,68.6642,68.72,68.5308,68.72,817505.02656275,IEF
2005-04-01,68.72,68.7519,68.218,68.6314,444720.63843012,IEF
2005-04-04,68.5567,68.8027,68.5397,68.5985,164591.77894916,IEF
2005-04-05,68.6075,68.6882,68.5168,68.6075,90956.025829312,IEF
2005-04-06,68.7519,68.8117,68.72,68.8117,62006.255070753,IEF
2005-04-07,68.8376,68.9761,68.5308,68.5477,237987.61406869,IEF
2005-04-08,68.5238,68.6314,68.4093,68.6264,104522.93701909,IEF
2005-04-11,68.6075,68.8286,68.5567,68.8286,50743.158988675,IEF
2005-04-12,68.73,69.1932,68.6702,69.1842,176945.04636325,IEF
2005-04-13,69.2749,69.3227,69.0508,69.2162,207708.75781881,IEF
2005-04-14,69.2829,69.4005,69.1762,69.4005,235806.26756367,IEF
2005-04-15,69.5648,69.8537,69.3925,69.8537,215467.44495057,IEF
2005-04-18,69.9005,69.9245,69.6844,69.6993,394942.17064776,IEF
2005-04-19,69.76,70.1127,69.7411,70.1127,136371.80060162,IEF
2005-04-20,69.6904,70.1127,69.6904,70.0698,277708.59881661,IEF
2005-04-21,69.7919,69.9333,69.5568,69.5648,684522.19319581,IEF
2005-04-22,69.7999,69.9075,69.6904,69.8627,90593.639226315,IEF
2005-04-25,69.8537,69.8925,69.7919,69.8627,95802.570204024,IEF
2005-04-26,69.9503,69.9593,69.6794,69.8278,144852.24941636,IEF
2005-04-27,70.025,70.1664,69.9413,70.044,149814.23550672,IEF
2005-04-28,70.1506,70.4733,70.1048,70.4733,125108.70451955,IEF
2005-04-29,70.291,70.5112,70.1904,70.2163,210978.26797383,IEF
2005-05-02,70.0529,70.1127,69.9005,70.0698,171252.26402087,IEF
2005-05-03,70.1216,70.2163,69.9413,70.1586,313917.14388618,IEF
2005-05-04,70.0001,70.2074,69.9593,70.1436,138667.58498128,IEF
2005-05-05,70.2252,70.4563,70.0948,70.3647,130800.48302092,IEF
2005-05-06,69.9413,70.025,69.784,69.8627,715775.77906206,IEF
2005-05-09,69.8188,69.8707,69.7501,69.8537,39845.461032612,IEF
2005-05-10,69.9333,70.1216,69.9245,70.1048,122687.4400142,IEF
2005-05-11,70.2332,70.3737,70.1436,70.1904,494858.48129246,IEF
2005-05-12,70.044,70.3059,69.9593,70.2552,662240.938237,IEF
2005-05-13,70.4255,70.5281,70.3159,70.4415,259656.52601412,IEF
2005-05-16,70.5281,70.544,70.4165,70.4484,135523.55495194,IEF
2005-05-17,70.553,70.6258,70.5032,70.5281,136610.71476094,IEF
2005-05-18,70.8011,70.8569,70.6646,70.7572,112634.9761848,IEF
2005-05-19,70.7283,70.8011,70.544,70.544,140731.48208866,IEF
2005-05-20,70.544,70.5888,70.4833,70.5351,85255.212758891,IEF
2005-05-23,70.6556,70.9157,70.6308,70.8569,198387.09024143,IEF
2005-05-24,71.0491,71.092,70.8737,71.0491,228780.38436595,IEF
2005-05-25,71.1936,71.1936,70.7821,70.7911,181661.09140724,IEF
2005-05-26,70.7911,70.9684,70.7522,70.8309,219694.61942487,IEF
2005-05-27,70.8927,70.9585,70.7911,70.9097,84290.521552574,IEF
2005-05-31,71.1168,71.2812,71.1168,71.2812,148483.14233337,IEF
2005-06-01,71.2025,71.5432,71.1518,71.5014,946372.11180701,IEF
2005-06-02,71.4436,71.586,71.4017,71.4765,187116.96727231,IEF
2005-06-03,71.8331,71.8421,71.067,71.067,297086.74558742,IEF
2005-06-06,71.1258,71.3071,71.0491,71.2593,377509.46774568,IEF
2005-06-07,71.4515,71.5183,71.2593,71.4595,134684.34387132,IEF
2005-06-08,71.4436,71.4595,71.3071,71.33,126681.72337521,IEF
2005-06-09,71.1596,71.3141,70.9933,71.2902,948786.34942531,IEF
2005-06-10,71.067,71.067,70.822,70.8309,243310.98292103,IEF
2005-06-13,70.7194,70.7522,70.5888,70.6486,334756.88316104,IEF
2005-06-14,70.6406,70.6406,70.4653,70.561,365149.17344455,IEF
2005-06-15,70.4563,70.5351,70.3737,70.5351,142914.83627569,IEF
2005-06-16,70.5032,70.7652,70.4325,70.7572,261236.57175682,IEF
2005-06-17,70.6406,70.7572,70.561,70.6796,180459.49372362,IEF
2005-06-20,70.4733,70.571,70.4075,70.571,216548.58171353,IEF
2005-06-21,70.6556,70.814,70.6068,70.7911,263910.80419557,IEF
2005-06-22,71.1338,71.3937,70.9853,71.33,590174.18860879,IEF
2005-06-23,71.2344,71.2902,71.1258,71.2593,204921.09134644,IEF
2005-06-24,71.4267,71.4765,71.3459,71.4267,81745.784603549,IEF
2005-06-27,71.4854,71.5522,71.4187,71.4854,1067843.9003635,IEF
2005-06-28,71.3937,71.3937,71.1596,71.1856,203469.53725244,IEF
2005-06-29,71.3709,71.3709,71.0491,71.1596,424258.34337334,IEF
2005-06-30,71.1596,71.4347,71.1088,71.4017,362731.92430323,IEF
2005-07-01,71.0172,71.059,70.4833,70.571,327008.23443933,IEF
2005-07-05,70.3647,70.4833,70.2552,70.291,172216.95522719,IEF
2005-07-06,70.3985,70.4733,70.3159,70.4415,362969.83462154,IEF
2005-07-07,70.7522,70.7821,70.5799,70.5978,254213.70008212,IEF
2005-07-08,70.6646,70.6646,70.2502,70.3478,191112.25447433,IEF
2005-07-11,70.1506,70.3478,70.0868,70.3159,207460.80909044,IEF
2005-07-12,70.2074,70.2811,70.1286,70.1346,149814.23550672,IEF
2005-07-13,70.1346,70.1506,70.025,70.0698,131168.89266995,IEF
2005-07-14,70.1127,70.1286,69.9155,69.9752,285825.65718735,IEF
2005-07-15,69.9245,70.044,69.9075,69.9921,386102.34675304,IEF
2005-07-18,69.9683,70.035,69.8188,69.8776,221265.63059852,IEF
2005-07-19,69.8925,70.0609,69.8457,69.9752,189657.68885732,IEF
2005-07-20,69.9921,70.1824,69.7332,70.1127,413110.6890069,IEF
2005-07-21,69.8537,69.8707,69.5738,69.5897,616706.71022603,IEF
2005-07-22,69.7919,69.9593,69.7082,69.9155,445809.80592112,IEF
2005-07-25,69.8627,69.9683,69.76,69.7919,152236.50385307,IEF
2005-07-26,69.8089,69.8776,69.7919,69.8457,109974.79752014,IEF
2005-07-27,69.7082,69.7919,69.6794,69.7411,78236.356448206,IEF
2005-07-28,69.7999,70.0788,69.7999,70.0529,173058.17398982,IEF
2005-07-29,69.8537,69.9075,69.5897,69.6276,249250.71015076,IEF
2005-08-01,69.3497,69.3497,69.1344,69.266,132859.36092327,IEF
2005-08-02,69.258,69.3665,69.1842,69.2022,408869.46075852,IEF
2005-08-03,69.3078,69.4253,69.2749,69.3765,156967.60651214,IEF
2005-08-04,69.3835,69.4622,69.25,69.3227,217153.89783987,IEF
2005-08-05,69.0328,69.0328,68.9043,68.9591,193899.92094669,IEF
2005-08-08,68.9353,68.9761,68.7688,68.7768,177792.28817192,IEF
2005-08-09,68.8207,68.9761,68.738,68.9761,355220.18205883,IEF
2005-08-10,69.0588,69.0836,68.8735,68.9431,111297.85996543,IEF
2005-08-11,69.0249,69.25,68.9431,69.2331,337416.0579847,IEF
2005-08-12,69.2749,69.6046,69.242,69.515,158168.20035476,IEF
2005-08-15,69.5379,69.5379,69.4163,69.4253,178278.14721859,IEF
2005-08-16,69.6356,69.767,69.6126,69.7501,260150.41578885,IEF
2005-08-17,69.6276,69.6844,69.4163,69.4861,167621.37110386,IEF
2005-08-18,69.6276,69.8627,69.6046,69.8537,300112.3223781,IEF
2005-08-19,69.6794,69.8457,69.6514,69.8089,92045.193320315,IEF
2005-08-22,69.7162,69.9155,69.5976,69.8707,1534853.8244805,IEF
2005-08-23,69.8776,70.044,69.8188,70.0001,109486.93079144,IEF
2005-08-24,70.0948,70.1127,69.9155,70.035,97499.061503374,IEF
2005-08-25,70.044,70.1286,69.9593,70.0788,244646.09145839,IEF
2005-08-26,70.1216,70.1506,69.8855,69.9593,121720.74112588,IEF
2005-08-29,70.1048,70.1127,69.9245,70.0081,213760.91524116,IEF
2005-08-30,70.1506,70.4484,70.0868,70.3408,204555.69322043,IEF
2005-08-31,70.4952,70.814,70.4952,70.7911,351354.39034652,IEF
2005-09-01,70.5281,70.7742,70.4952,70.6406,294063.17647875,IEF
2005-09-02,70.5888,70.7453,70.5351,70.6556,86958.730945281,IEF
2005-09-06,70.6406,70.6486,70.3737,70.4415,172941.72843318,IEF
2005-09-07,70.3478,70.3647,70.1216,70.2074,151390.2658854,IEF
2005-09-08,70.3159,70.3319,70.1664,70.2074,320466.20260628,IEF
2005-09-09,70.3249,70.4075,70.2074,70.2631,96158.933760988,IEF
2005-09-12,70.1127,70.1286,69.9155,70.044,125472.09496355,IEF
2005-09-13,70.1984,70.3319,70.1904,70.2552,146297.78046433,IEF
2005-09-14,70.2811,70.3059,70.0698,70.1127,130800.48302092,IEF
2005-09-15,70.1346,70.1346,69.8089,69.8925,118204.2860835,IEF
2005-09-16,69.7999,69.8357,69.5738,69.6206,272260.75367959,IEF
2005-09-19,69.6356,69.7999,69.5818,69.76,246341.57891673,IEF
2005-09-20,69.7332,69.784,69.509,69.6993,150176.62210971,IEF
2005-09-21,70.0001,70.0788,69.9503,70.025,122930.36953754,IEF
2005-09-22,70.0698,70.1127,69.9752,70.0788,151029.88696442,IEF
2005-09-23,69.9503,69.9503,69.6844,69.6844,122562.96372952,IEF
2005-09-26,69.4861,69.5897,69.4343,69.509,83937.169518627,IEF
2005-09-27,69.5568,69.6694,69.3765,69.5479,113120.83523147,IEF
2005-09-28,69.5021,69.7252,69.4533,69.6844,85985.005169914,IEF
2005-09-29,69.5648,69.5818,69.4771,69.5319,140731.48208866,IEF
2005-09-30,69.5319,69.5738,69.2919,69.3317,176705.12836292,IEF
2005-10-03,69.0986,69.0986,68.8117,68.8465,167621.37110386,IEF
2005-10-04,68.9761,69.0169,68.8465,68.8825,183112.64550124,IEF
2005-10-05,69.0089,69.1076,68.9283,69.0328,157811.83679779,IEF
2005-10-06,69.0089,69.0588,68.9113,68.9511,264142.69146785,IEF
2005-10-07,68.7768,69.0986,68.746,69.0328,72540.562582814,IEF
2005-10-10,69.2162,69.25,68.9761,69.0508,51957.80660537,IEF
2005-10-11,69.0089,69.0249,68.8376,68.9283,128139.30051525,IEF
2005-10-12,68.9113,68.9193,68.6164,68.6642,168947.44507217,IEF
2005-10-13,68.5308,68.6075,68.4411,68.5567,367093.61347227,IEF
2005-10-14,68.7051,68.72,68.3565,68.5567,162652.35812647,IEF
2005-10-17,68.5477,68.6394,68.4331,68.475,185305.03425732,IEF
2005-10-18,68.5477,68.5896,68.4819,68.5716,98954.630961397,IEF
2005-10-19,68.73,68.7858,68.6164,68.6543,82478.588537588,IEF
2005-10-20,68.5646,68.72,68.4989,68.6972,135038.69974628,IEF
2005-10-21,68.7589,69.0328,68.7519,69.001,112021.62933042,IEF
2005-10-24,68.9353,68.9511,68.6314,68.7051,415777.89455859,IEF
2005-10-25,68.7519,68.8117,68.2977,68.3823,230725.82823467,IEF
2005-10-26,68.201,68.2429,68.0546,68.1204,180090.08023358,IEF
2005-10-27,68.2518,68.3395,68.1204,68.2758,297694.06939577,IEF
2005-10-28,68.3116,68.3565,68.0546,68.201,949883.54764436,IEF
2005-10-31,68.201,68.3644,68.193,68.2518,149329.38030104,IEF
2005-11-01,68.0696,68.0785,67.8883,67.9719,174396.2940502,IEF
2005-11-02,67.8613,68.0197,67.7796,67.8275,103908.5863237,IEF
2005-11-03,67.8972,67.8972,67.5744,67.5934,244161.23625271,IEF
2005-11-04,67.6472,67.7368,67.4569,67.5575,189174.84133365,IEF
2005-11-07,67.7208,67.7368,67.5934,67.679,160353.5622238,IEF
2005-11-08,67.9071,68.0606,67.9071,68.0197,86226.930852247,IEF
2005-11-09,67.8613,67.9411,67.6392,67.6552,150545.03175874,IEF
2005-11-10,67.8205,68.0606,67.7796,68.0466,124383.93131355,IEF
2005-11-11,68.1522,68.1662,67.9899,68.1293,87925.429833609,IEF
2005-11-14,68.0117,68.0466,67.705,67.8205,241856.41730401,IEF
2005-11-15,67.8205,68.0785,67.8205,68.0546,235080.49051667,IEF
2005-11-16,68.1522,68.4251,68.1522,68.3993,124135.98258519,IEF
2005-11-17,68.3395,68.6474,68.2907,68.5308,120992.95639686,IEF
2005-11-18,68.3644,68.4899,68.3216,68.3644,121112.41347652,IEF
2005-11-21,68.4989,68.6075,68.4251,68.4989,332575.53665602,IEF
2005-11-22,68.5477,68.7688,68.4899,68.738,226115.18649625,IEF
2005-11-23,68.713,68.7688,68.4819,68.5567,214609.16089083,IEF
2005-11-25,68.6702,68.7589,68.6394,68.7589,38028.508812597,IEF
2005-11-28,68.746,68.9193,68.73,68.8555,191718.57444167,IEF
2005-11-29,68.8465,68.8465,68.4671,68.475,104522.93701909,IEF
2005-11-30,68.5985,68.5985,68.3485,68.4411,55836.648250749,IEF
2005-12-01,68.2349,68.3485,67.9471,68.0546,388888.00554339,IEF
2005-12-02,68.0606,68.1293,67.9899,68.1114,415662.45284296,IEF
2005-12-05,68.0197,68.0197,67.8205,67.9071,370239.65118361,IEF
2005-12-06,67.9968,68.2907,67.9968,68.225,1237402.684608,IEF
2005-12-07,68.2349,68.2678,68.0855,68.1851,88409.281198275,IEF
2005-12-08,68.2758,68.5079,68.2349,68.4819,86226.930852247,IEF
2005-12-09,68.2907,68.3485,68.1034,68.1762,80058.327873248,IEF
2005-12-12,68.2349,68.2349,67.9899,68.0197,717588.71591806,IEF
2005-12-13,68.193,68.2349,68.0696,68.1851,255182.40665246,IEF
2005-12-14,68.4581,68.6474,68.3923,68.6164,99676.392644375,IEF
2005-12-15,68.5079,68.5397,68.2977,68.5238,141093.86869166,IEF
2005-12-16,68.73,68.746,68.5477,68.6474,509151.16952923,IEF
2005-12-19,68.5646,68.73,68.5168,68.6882,173919.46957258,IEF
2005-12-20,68.5716,68.6264,68.4819,68.5716,125472.09496355,IEF
2005-12-21,68.4899,68.5308,68.4411,68.4819,174043.94585726,IEF
2005-12-22,68.5796,68.7858,68.5796,68.7519,150790.9728051,IEF
2005-12-23,68.72,69.0677,68.6543,68.9193,101852.71994437,IEF
2005-12-27,68.9193,69.242,68.9043,69.242,215941.25790518,IEF
2005-12-28,68.9431,69.001,68.7688,68.7938,675682.36930108,IEF
2005-12-29,68.9113,68.9193,68.713,68.8825,192689.28869403,IEF
2005-12-30,69.001,69.0418,68.7688,68.9043,202133.42487408,IEF
2006-01-03,68.72,69.001,68.6642,68.8963,362731.92430323,IEF
2006-01-04,68.9043,69.0677,68.8207,69.0089,136011.42168064,IEF
2006-01-05,69.0089,69.0588,68.9193,69.0249,193412.05421801,IEF
2006-01-06,68.993,69.0089,68.8645,68.9431,216912.97599854,IEF
2006-01-09,68.9113,68.9761,68.8207,68.9761,95188.219508638,IEF
2006-01-10,68.8286,68.8825,68.6543,68.6972,170159.08116584,IEF
2006-01-11,68.7938,68.7938,68.5079,68.5238,465435.9014203,IEF
2006-01-12,68.6702,68.8027,68.5896,68.7688,118324.74700416,IEF
2006-01-13,68.8963,69.0986,68.8286,69.0677,116509.80246616,IEF
2006-01-17,69.0169,69.1932,68.993,69.1504,201777.06131712,IEF
2006-01-18,69.2331,69.25,69.0588,69.1762,152484.45258143,IEF
2006-01-19,69.0089,69.1076,68.9353,69.0089,131527.26390893,IEF
2006-01-20,69.0916,69.1166,68.9511,69.1166,118690.14513017,IEF
2006-01-23,68.9193,69.1504,68.8884,69.0986,95802.570204024,IEF
2006-01-24,68.993,69.0588,68.9043,68.993,80173.769588885,IEF
2006-01-25,68.8735,68.8735,68.5397,68.5646,115664.5683395,IEF
2006-01-26,68.4671,68.4989,68.3116,68.4173,93369.259606613,IEF
2006-01-27,68.5796,68.5796,68.2758,68.4671,138795.07278899,IEF
2006-01-30,68.3823,68.4173,68.2608,68.3116,151877.12877308,IEF
2006-01-31,68.3923,68.475,68.2429,68.4173,309680.93484283,IEF
2006-02-01,68.1522,68.193,67.9539,67.9899,574314.50456238,IEF
2006-02-02,68.0387,68.1363,67.9719,67.9899,114819.33421284,IEF
2006-02-03,67.8883,68.225,67.7946,68.193,343714.15645341,IEF
2006-02-06,68.1522,68.1762,68.0855,68.0944,64554.003542795,IEF
2006-02-07,68.193,68.201,67.9809,68.0117,277099.26732626,IEF
2006-02-08,68.1114,68.1204,67.9071,67.9719,75091.322577872,IEF
2006-02-09,67.9899,68.1114,67.8793,68.0387,116992.64998982,IEF
2006-02-10,68.193,68.209,67.7627,67.8355,124626.86083689,IEF
2006-02-13,67.9071,67.9071,67.7946,67.8355,79935.859270573,IEF
2006-02-14,67.7627,67.8355,67.6622,67.7368,93369.259606613,IEF
2006-02-15,67.9071,67.9411,67.705,67.8613,91073.475226959,IEF
2006-02-16,67.8883,67.8883,67.7448,67.8275,300599.18526578,IEF
2006-02-17,68.0855,68.1602,68.0197,68.0606,241257.12422371,IEF
2006-02-21,68.0696,68.1034,67.9629,67.9809,198860.90319604,IEF
2006-02-22,68.1114,68.2349,68.0696,68.2349,140126.16596232,IEF
2006-02-23,68.1114,68.1204,67.9539,68.0696,88776.6870063,IEF
2006-02-24,68.1204,68.1204,67.9241,67.9899,415777.89455859,IEF
2006-02-27,68.0387,68.0387,67.8275,67.8534,348441.24374846,IEF
2006-02-28,67.9809,68.1602,67.9629,68.1293,116148.41970417,IEF
2006-03-01,67.8534,67.9331,67.697,67.7717,274923.94386727,IEF
2006-03-02,67.5844,67.6622,67.4151,67.5087,137216.03088728,IEF
2006-03-03,67.4649,67.4649,67.3174,67.3393,92648.50176464,IEF
2006-03-06,67.1441,67.2616,67.0455,67.1312,424738.17937398,IEF
2006-03-07,67.0883,67.194,67.0067,67.16,157811.83679779,IEF
2006-03-08,67.16,67.2028,67.0973,67.194,102340.58667306,IEF
2006-03-09,67.169,67.2616,67.0973,67.2616,614284.44187969,IEF
2006-03-10,67.1242,67.16,66.9559,67.1312,494741.03189481,IEF
2006-03-13,67.0455,67.1152,66.9638,67.0704,299025.1625691,IEF
2006-03-14,67.2547,67.5007,67.186,67.4569,148600.59173103,IEF
2006-03-15,67.3174,67.4241,67.2547,67.3334,180817.86496259,IEF
2006-03-16,67.4319,67.7796,67.4241,67.7538,211822.49825948,IEF
2006-03-17,67.6622,67.705,67.5744,67.6153,134802.79710997,IEF
2006-03-20,67.7946,67.8205,67.679,67.7448,290790.65480072,IEF
2006-03-21,67.705,67.705,67.3732,67.4739,117239.59487718,IEF
2006-03-22,67.5744,67.6252,67.4649,67.5495,159262.38705079,IEF
2006-03-23,67.5934,67.5934,67.3254,67.3832,132859.36092327,IEF
2006-03-24,67.4241,67.7448,67.3653,67.671,83326.834187263,IEF
2006-03-27,67.5934,67.6392,67.4828,67.5256,96525.335728008,IEF
2006-03-28,67.4569,67.4828,67.1312,67.2028,152114.03525039,IEF
2006-03-29,67.1441,67.2547,67.0365,67.1372,70364.235282819,IEF
2006-03-30,67.0365,67.0535,66.7984,66.9389,122081.12004686,IEF
2006-03-31,66.9967,67.0535,66.8612,66.9887,105850.01482841,IEF
2006-04-03,66.5842,66.7228,66.5504,66.6948,295881.13253977,IEF
